questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
In which year was a settlement reached regarding GE's pollution of the Housatonic River?,1999,1999,"[Document(id=66a9fb4c9d1cbb2bdc754757cfcbce6fa169d08ab7340e60e7b05bd65c9e5d65, content: ' In June 2014 a formal offer From GE worth $17 billion was agreed by the Alstom board. Part of the t...', meta: {'name': 'General_Electric', 'source_id': '26d4044eb2d79191635af69e57c262af8041a70871e60e989128c458529f04cc', 'page_number': 1}, score: 0.49639086782035935)]",1.0,1.0,1.0,1.0,1.0
What area in Charleston is considered the 'industrial area'?,the city's Neck area,Charleston–North Charleston–Summerville Metropolitan Statistical Area,"[Document(id=a00baea2441c87e38109afe86358b94ae591d905c9ff5c35c440986bd364ee66, content: 'Charleston is the oldest and second-largest city in the U.S. state of South Carolina, the county sea...', meta: {'name': 'Charleston,_South_Carolina', 'source_id': '6135d76cf2064b0c4f70e685c5c7e15b8093869ebd10f9a74e8acb07e2173763', 'page_number': 1}, score: 0.5451335165669611)]",1.0,0.40961262583732605,1.0,1.0,1.0
In what year did Frédéric obtain citizenship in France?,1835,1835,"[Document(id=7b2e31c3f54b0c1a9b97db27512199c167f56012decb955c5fb2ad06a110d92e, content: 'Frédéric François Chopin (/ˈʃoʊpæn/; French pronunciation: ​[fʁe.de.ʁik fʁɑ̃.swa ʃɔ.pɛ̃]; 22 Februar...', meta: {'name': 'Frédéric_Chopin', 'source_id': '5e95b80d7ceb3febb2d1a7dfe09730771a231fc8d23c15cd74d3fa2327cfcb14', 'page_number': 1}, score: 0.5926069778418124)]",1.0,1.0,1.0,1.0,1.0
What was Tesla afraid someone was trying to do with his invention?,steal the invention,steal the invention,"[Document(id=a7e7642fe4191fff00d610d3d0c95bcb299ff890393b3b9dda127bc3cc40623b, content: ' Tesla tried to interest the US War Department, the United Kingdom, the Soviet Union, and Yugoslavia...', meta: {'name': 'Nikola_Tesla', 'source_id': 'ceea6a1645d15ba7fe20b687be69cd66b3781b3889ef8a0693edc64967068a28', 'page_number': 1}, score: 0.6408155390011724)]",1.0,1.0,1.0,1.0,1.0
What is the group called that does not agree with government at all?,anarchists,Non-revolutionary civil disobedience,"[Document(id=172d5ae15d23469aad64106d5290dbb9c81377ad9262463cdd5058509187a788, content: '
Non-revolutionary civil disobedience is a simple disobedience of laws on the grounds that they are ...', meta: {'name': 'Civil_disobedience', 'source_id': '505ac0ceafea50bbbfc74281c3c932b97c3074217d7ffe74512a2d0eb97fe491', 'page_number': 1}, score: 0.4826805294935842)]",1.0,0.48217201232910156,1.0,1.0,1.0
What was the name of the bookstore the authors met in?,Old Corner Bookstore,Bibliothèque Bleue,"[Document(id=431a21bc2021ab05bedf5f9c62189ca16d692858fb84414f96b2f293034850da, content: '"" Women, as salonnières, were ""the legitimate governors of [the] potentially unruly discourse"" that ...', meta: {'name': 'Age_of_Enlightenment', 'source_id': 'd6935b64f79e30b7c3de4c952b643a55674c548cd0bb703870a094fd3e646d84', 'page_number': 1}, score: 0.421877163066887)]",0.0,0.32271450757980347,0.0,0.0,0.0
Time and space are both examples of what type of resource?,complexity resources,fundamental intellectual structure,"[Document(id=dd4f4d9a87883e0aa9f9e24e4db2a323a2a0555ed35dcc2ef63f816e15bbcd52, content: 'Time has long been a major subject of study in religion, philosophy, and science, but defining it in...', meta: {'name': 'Time', 'source_id': 'f3ee42c6d38306d65c6207a15a1b9c65ff08a69728d5d0197f9593548177b229', 'page_number': 1}, score: 0.50831139766181)]",0.0,0.3276873826980591,0.0,0.0,0.0
What had happened to Frederick's extra troops from Russia?,"Catherine, who ended Russia's alliance with Prussia and withdrew from the war",placed a corps of his own troops under Frederick's command,"[Document(id=d7342a0e3021ae2d3bba679cf10ecb72ddc69518be33b380ee6b9e8f5e4d03c9, content: '
On the eastern front, progress was very slow. The Russian army was heavily dependent upon its main ...', meta: {'name': 'Seven_Years%27_War', 'source_id': '3ce1ed9d37c2147a385da7d5e5b943fd3d7b17c5d89dca3dd9b367b2b1f095e3', 'page_number': 1}, score: 0.6968056158780116)]",1.0,0.311606764793396,1.0,1.0,1.0
What percentage of its workforce did Dell terminate in from 2007 to 2008?,10%,12,"[Document(id=67fda94cfa124d7c449d0e5d6525ee64bb5132e4e8255f2a8c0298097627fabb, content: ' Increasing spending on R&D would have cut into the operating margins that the company emphasized. D...', meta: {'name': 'Dell', 'source_id': '2a4fe0f2b4ecfc25a3563020204c8a55c9674b77ca6df3c224557299cb0a5581', 'page_number': 1}, score: 0.6258874375525161)]",1.0,0.29873126745224,1.0,1.0,1.0
What organization was Rome's official caretaker?,the senate,pontifex maximus,"[Document(id=71718b05e0ad88a856f11532834265f8f64091425308e7bc717ce93437673530, content: '
Towards the end of the Republic, religious and political offices became more closely intertwined; t...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5607277962054709)]",1.0,0.1858067661523819,1.0,1.0,1.0
Who chose BYU as the location of the national Middle East Language Resource Center?,United States Department of Education,United States Department of Education,"[Document(id=73c809a12535348ffed165eff42c189f3aa95c6ed455c42b5e7932cd44167a8d, content: ' Several of its language programs are the largest of their kind in the nation, the Russian program b...', meta: {'name': 'Brigham_Young_University', 'source_id': 'cb3b81b6f2c540426803106face67bc5fd4db7b1a9ef422ec3601456732b4785', 'page_number': 1}, score: 0.704733357632634)]",1.0,1.0,1.0,1.0,1.0
Who discovered Hydrogen gas?,Robert Boyle,Robert Boyle,"[Document(id=b562ec53d471dfbb3ba9b12247b16c622039308f7ec5b5b5344127cfeb67e87d, content: '
In 1671, Robert Boyle discovered and described the reaction between iron filings and dilute acids, ...', meta: {'name': 'Hydrogen', 'source_id': '68980750bab4ae17fc394871df89fbbb807d0b180a08bf2698ebc1ec0613d8a2', 'page_number': 1}, score: 0.7076322081359558)]",1.0,1.0,1.0,1.0,1.0
Where was Polybius forced to go as hostage?,Rome,Rome,"[Document(id=b5c785a8e22edd8d9d6cb5708ef03b91b1dd4137c66bb49c28d760b75bfb84be, content: ' Some areas of the conquered world were more affected by Greek influences than others. The term Hell...', meta: {'name': 'Hellenistic_period', 'source_id': '322682cbb61d31c17e6d21e06723e94efd0ef242a5c9f308888fa14209c4078b', 'page_number': 1}, score: 0.5545614504809487)]",1.0,1.0000001192092896,1.0,1.0,1.0
In what decade was disco popular?,1970s,1980s,"[Document(id=a1ebb6111bad62b247dd1b756728c9569fa6d4b9a446c19b1950e68e79933994, content: ' As of 2015, house music remains extremely popular in both clubs and in the mainstream pop scene whi...', meta: {'name': 'House_music', 'source_id': 'c556f4a459e8a99b6d2065bab8fd6a918d0a00f13291aad2473922492e4abf2e', 'page_number': 1}, score: 0.5521305810998134)]",0.0,0.8399688005447388,0.0,0.0,0.0
What do the rivers form?,lakes,lakes,"[Document(id=dfdb4032d57d026d1e52c68a1cff13d84af492b1c4c23fee3c33111d08105adf, content: ' The Rhine originates in a 30 square kilometre area in Switzerland and represents almost 60 percent ...', meta: {'name': 'Alps', 'source_id': 'd2eb3ad3af7d6110ae691bf40660ff7a79e4e9dbfd25785b4e55c7700bfcae79', 'page_number': 1}, score: 0.49814621522653785)]",1.0,1.0,1.0,1.0,1.0
What were the first 256 code points of Unicode made identical to? ,ISO-8859-1,BMP,"[Document(id=bdee99e0e034bb0947d6790e47e76dc1df567ff49f8c8b43d455c43aa290bf76, content: ' Often, other properties must be used to specify the characteristics and behaviour of a code point. ...', meta: {'name': 'Unicode', 'source_id': '5466bae2d66ecdb546af3cc34795de9f594465bd49e997a8c32cca0dc3b5d1e2', 'page_number': 1}, score: 0.6428002363940893)]",1.0,0.11559435725212097,1.0,1.0,1.0
"How many countries did her song ""Irreplaceable"" get number one status in?",five,"Australia, Hungary, Ireland, New Zealand and the United States","[Document(id=e5bfa62fc564ffffb338c1e6042c55a951d678b61fad10f5f106240c14fb440a, content: ' On February 1, 2004, Beyoncé performed the American national anthem at Super Bowl XXXVIII, at the R...', meta: {'name': 'Beyoncé', 'source_id': 'df5e2ca169dc6cf68bbfa81e78478ec035f276c65d7f24df15ba60a18401232b', 'page_number': 1}, score: 0.48170959775240163)]",1.0,0.14340342581272125,1.0,1.0,1.0
How many Examination Boards exist in India?,30,30,"[Document(id=9b7d52cbf72d7c989a4a9357093025a9bd62e4fb3573ea1abab63735c50cb79e, content: ' However, it is not possible to finance these schools with such low tuition fees, which is why all G...', meta: {'name': 'Private_school', 'source_id': 'c62330ba95e9919513bc9fc65c0d21a748b4a518b9b1f905a113de7f37274e44', 'page_number': 1}, score: 0.4656468986809146)]",1.0,1.0,1.0,1.0,1.0
What play showed an early depiction of civil disobedience?,Antigone,Antigone,"[Document(id=ad70291d4dec497bcd48d02a2bfbb4780dffd558cf0eee2d7c976f107f401335, content: 'One of its earliest massive implementations was brought about by Egyptians against the British occup...', meta: {'name': 'Civil_disobedience', 'source_id': '505ac0ceafea50bbbfc74281c3c932b97c3074217d7ffe74512a2d0eb97fe491', 'page_number': 1}, score: 0.6589027090165251)]",1.0,1.0,1.0,1.0,1.0
"Once in conversation with the Queen, how is Elizabeth addressed?",Ma'am,Ma'am,"[Document(id=7e78ea0e95b5bd788108ac6801d926bfe2bab5d8c8ee7ca718215a801c9c95ef, content: ' She was celebrated in Canada as the ""longest-reigning sovereign in Canada's modern era"". (King Loui...', meta: {'name': 'Elizabeth_II', 'source_id': '701ad172dfcc8791d990bf596fe61055a5548b2e1847cd32a5d9c011ed8a1ed8', 'page_number': 1}, score: 0.5698498562293763)]",1.0,1.0,1.0,1.0,1.0
In what century did Paris become largely into fashion?,19th,19th,"[Document(id=faa03729332a5c07c1c9d6d87747d15af8b3043f87a9cff7389d9a1c23d97c7c, content: '
Paris has been an international capital of high fashion since the 19th century, particularly in the...', meta: {'name': 'Paris', 'source_id': '52b8f3ebbfb9baf9226768b89151b597c215bb08f28021147d2d798f707976c9', 'page_number': 1}, score: 0.5976425209098843)]",1.0,1.0000001192092896,1.0,1.0,1.0
When did Alfred the Great begin his reign?,871,871,"[Document(id=4c48861d4673f21b2c8302b3b5239fa9bd1cfd1c2e226f06fb3ec71889c9e319, content: ' Cædmon, the earliest English poet we know by name, served as a lay brother in the monastery at Whit...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.4259535276693956)]",0.0,1.0,0.0,0.0,0.0
What two methods can be used when using Load Testing?,data or a large number of users,large quantities of data or a large number of users,"[Document(id=dd704f4bc758ab475db02844a8a24263dd4fdb32afbc7f7dc86b810f8fa62e4f, content: '
Load testing is primarily concerned with testing that the system can continue to operate under a sp...', meta: {'name': 'Software_testing', 'source_id': '141fdc660b7505b00b8550733c65d48914cde6833d577a5494a41a6cb01a3827', 'page_number': 1}, score: 0.6507854161834614)]",1.0,0.9289779663085938,1.0,1.0,1.0
what may possibly be a solution to net neutrality concerns? ,municipal broadband,municipal broadband,"[Document(id=0e27e0ca72a74505db588413835ac7002514412100758a45474267af68c71a90, content: 'An Internet service provider (ISP) is an organization that provides services for accessing, using, t...', meta: {'name': 'Internet_service_provider', 'source_id': 'b6cdeebacab1c0fc99cc348ba10a7ad5f8a09ca4691c74f89374730939ffbbb4', 'page_number': 1}, score: 0.5580314549952922)]",1.0,1.0000001192092896,1.0,1.0,1.0
What are the ground-attack aircraft in the USAF usually deployed in support for? ,U.S. ground forces,land forces,"[Document(id=2e4b3b475a65a6397953a11388e7fa166873ff680f98b6e7464deb399963430f, content: '
In the US Air Force, the distinction between bombers, fighters that are actually fighter-bombers, a...', meta: {'name': 'United_States_Air_Force', 'source_id': '1bb222de66e5a2c81f1d5b75bf3eced066939aec82934a5cb176a607b4e8cc8f', 'page_number': 1}, score: 0.5490348511903206)]",1.0,0.7403548955917358,1.0,1.0,1.0
 In what year did the invasion of Russia take place?,1812,1853,"[Document(id=e2b0b7fb7245406ebe95cec6e89cc25fccdc9386ef0e980ff8bd1bb4c36f9a9c, content: 'The Crimean War was a military conflict fought between October 1853 – March 1856 in which Russia los...', meta: {'name': 'Crimean_War', 'source_id': '66f44772af3b4c2aebf16f2866ee8ea9e71fc3471480ed94ea0b2638c0f5b570', 'page_number': 1}, score: 0.583131325566129)]",0.0,0.672028660774231,0.0,0.0,0.0
What was the practice of religion to the Romans?,personal choice,practical and contractual,"[Document(id=b80b0d7fa56110987db7fc274c40400c9afab47b60f93bd3980be6d29191c35f, content: 'The priesthoods of public religion were held by members of the elite classes. There was no principle...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.6665384745348288)]",1.0,0.22432157397270203,1.0,1.0,1.0
What is one example of failure testing?,Software fault injection,A programmer makes an error (mistake,"[Document(id=b6392c280d0afea37544d7517bbd9644cc64cc62815ef9e4f6ae7774c9575aff, content: 'As the number of possible tests for even simple software components is practically infinite, all sof...', meta: {'name': 'Software_testing', 'source_id': '141fdc660b7505b00b8550733c65d48914cde6833d577a5494a41a6cb01a3827', 'page_number': 1}, score: 0.5737161988389456)]",1.0,0.3859443664550781,1.0,1.0,1.0
"Out of the maximum amount of players allowed, one must be a what?",goalkeeper,three,"[Document(id=85f535796cef4ec10db8a4fd4e565960608be55322b93bae284e720192b9a26d, content: '
A number of players may be replaced by substitutes during the course of the game. The maximum numbe...', meta: {'name': 'Association_football', 'source_id': 'f2b7305b09ad8a43b8389a5eb2d84b8ea4b4deaa7968d21fe9da9da9ecda2c6b', 'page_number': 1}, score: 0.4497446649281802)]",1.0,0.18245230615139008,1.0,1.0,1.0
In which year was the new constitution ratified?,1855,1899,"[Document(id=e93f1498d324a356d0a273aea97c15c32b0eec4faf0660735b4c27f7c165effa, content: ' The white conservative Democrats regained control of the state legislature in 1870, in part by Ku K...', meta: {'name': 'North_Carolina', 'source_id': '3282e3dedcf0f1923e66ebf5b79cf9b9deec27c8ca1df8908e03770b02b38126', 'page_number': 1}, score: 0.49302690301412233)]",0.0,0.5596075057983398,0.0,0.0,0.0
What vessel was attacked in 1845?,Naiad,Naiad,"[Document(id=c450c10c9cc7ec2362a5a8c23142549f03d77146379f9bb96ab788f8c91887e3, content: ' One year later, the American schooner Dolphin arrived and picked up two boys, the last survivors of...', meta: {'name': 'Marshall_Islands', 'source_id': '762a4f6095de127ded5441c7a17d1c9c38f731ac9cb1ffe8de30af6573be7edf', 'page_number': 1}, score: 0.5136154001583656)]",1.0,1.0000001192092896,1.0,1.0,1.0
When did Travel + Leisure list Yale as one of the most beautiful campuses?,2011,2011,"[Document(id=afdbd08089615eb2bbb9dd9a5945a7e094c57e1f63a4d1f083e6183556a9f3e7, content: ' Moreover, Yale has been accused of failing to treat workers with respect. In a 2003 strike, however...', meta: {'name': 'Yale_University', 'source_id': 'f33638c4d6b8d7572ba500f3a8affca1729aae3046c83a94e2a7424dd50f6549', 'page_number': 1}, score: 0.5912663052349812)]",1.0,1.0,1.0,1.0,1.0
What sort of variants did the Human Genome Project indicate that many of the measured transcripts were?,alternative variants,moderate levels,"[Document(id=073df342a989619b1eec131e4197dffb009cfe81b1f8022d1a8cd8b13985d1db, content: ' The Human Genome Project states ""People who have lived in the same geographic region for many gener...', meta: {'name': 'Race_(human_categorization)', 'source_id': '1232f7fe18d6e2adb87627ce2042b468cfa3fb9ba0b6afb2165c345f440b5339', 'page_number': 1}, score: 0.4741344601997052)]",0.0,0.14409571886062622,0.0,0.0,0.0
During what year did the Italians invade Libya?,1911,1911,"[Document(id=d5a42bacf8a08d601a973e5bad25b36c41015f76de0d512f9c3130d5e87ae4de, content: ' He repeatedly expressed a preference for the desert over the city and retreated to the desert to me...', meta: {'name': 'Muammar_Gaddafi', 'source_id': '8152b4f6f236e7f6841b777d688aa105c66dbcee3fe926720311ce23eed0a380', 'page_number': 1}, score: 0.5997149229460172)]",1.0,1.0000001192092896,1.0,1.0,1.0
What did Davidson believe the God of Aristotle is synonymous with?,rational thought,rational thought,"[Document(id=3c9b21a4d224bb82a4e4fc744a7bd671552ea8d96f2928fcf811163166442019, content: ' The Nature of Existence (1927) contained his arguments that space, time, and matter cannot possibly...', meta: {'name': 'Idealism', 'source_id': '55a0bd42a4a737442a2d93fe0926424e236910de01b2406ed43c174f2225ff9d', 'page_number': 1}, score: 0.5788858628692617)]",1.0,1.0,1.0,1.0,1.0
What percentage of students at Notre Dame are the children of former Notre Dame students?,21–24%,21–24%,"[Document(id=bd4681af4e65cd44fb09639ab1c33814925a7f0631458709bac52a44932b0dab, content: ' Around 21–24% of students are children of alumni, and although 37% of students come from the Midwes...', meta: {'name': 'University_of_Notre_Dame', 'source_id': '4d72b1adc03b693b389a144097b6ebc1668cfbaef6fa42bbc023428ed14a60d9', 'page_number': 1}, score: 0.5931308200019992)]",1.0,1.0,1.0,1.0,1.0
On what day did U.S> planes located Ozawa's fleet?,second,24 October,"[Document(id=67d402d488ad87fcda2d30f304cebc3d3ab52520c994807e5b06e892c3a0e1e1, content: ' The carriers had only 108 planes. The force was not spotted by the Allies until 16:40 on 24 October...', meta: {'name': 'Pacific_War', 'source_id': 'bbc89e90f0fa3a97026e63250a28c1a17f157ab8c6d81bc70d6d55b8da059c57', 'page_number': 1}, score: 0.6829916731914795)]",1.0,0.2516951560974121,1.0,1.0,1.0
Greek was crowned the European champions in what event?,Euro 2004,Euro 2004,"[Document(id=9c5e4e5ebe04f6d60e8e13bc3cfe5cd0c8fa7c41c1148c916c472a26ca7c677b, content: ' Their best ever performance was in the 1896 Summer Olympics, when Greece finished second in the med...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.6102245016864454)]",1.0,1.000000238418579,1.0,1.0,1.0
Which tense indicates that an action hasn't finished?,imperfective,imperfective,"[Document(id=b086dbc67b80e6f26b1e823c6ec440f8f645661a3c528184598912bb2cd8d10b, content: ' On occasion of the publication’s 45th anniversary, the Croatian weekly journal Forum published the ...', meta: {'name': 'Serbo-Croatian', 'source_id': '2cc55814bc801258e8300ed82e003428dbf11715c74ad99297d61c5dd77023f4', 'page_number': 1}, score: 0.31092698913374395)]",1.0,1.0,1.0,1.0,1.0
What acoustic element could be distorted by different audio settings in iPods prior to 2007?,Bass,bass instruments,"[Document(id=25a9235e2187510deb110e2fe84f6e0f7a2dbacbbd0bd491e44e8a83b3be8cbf, content: ' This would happen for EQ settings like R&B, Rock, Acoustic, and Bass Booster, because the equalizer...', meta: {'name': 'IPod', 'source_id': 'f0324763387a7e11c235569bada6935891b2c5ba40dd065ab5acc1bb5de8dbed', 'page_number': 1}, score: 0.5267817991196269)]",1.0,0.8207652568817139,1.0,1.0,1.0
In what way can Neutral triatomic hydrogen exist?,excited form,excited form,"[Document(id=f649524cdd28fbe2ba5a3cadae832b66d8fef791e1b4613b5d6705e7ca2b49a9, content: ' As a plasma, hydrogen's electron and proton are not bound together, resulting in very high electric...', meta: {'name': 'Hydrogen', 'source_id': '68980750bab4ae17fc394871df89fbbb807d0b180a08bf2698ebc1ec0613d8a2', 'page_number': 1}, score: 0.6038299428337875)]",1.0,1.0,1.0,1.0,1.0
How are children used in the conflicts in Burma?,Child soldiers have and continue to play a major part in the Burmese Army as well as Burmese rebel movements.,child soldiers,"[Document(id=d0c37a34ef187eefa48aed48ab2f9ed0e96f3a67771e8a88b8c3da762a3a37fb, content: ' According to Samantha Power, a US delegation raised the issue of child soldiers with the government...', meta: {'name': 'Myanmar', 'source_id': '3d5d8c2f0b407573851f7793034e3f28664c9739d422faaf23da089d3bb275b3', 'page_number': 1}, score: 0.5711083259937013)]",1.0,0.5706413388252258,1.0,1.0,1.0
In what decades were Arsenal players stereotyped in a negative way?,1970s and 1980s,1970s and 1980s,"[Document(id=23ce9b5b052679777e1f4db02c71a154ef112d1634274e17ec804b5f383f1134, content: ' On 22 January 1927, their match at Highbury against Sheffield United was the first English League m...', meta: {'name': 'Arsenal_F.C.', 'source_id': 'b197b14120aabbc3bf2073d4b3e99c1c51d56d5ac5248f8a97dadcfa056a6f7e', 'page_number': 1}, score: 0.5498172548089693)]",1.0,1.0000001192092896,1.0,1.0,1.0
When did new construction start in Melbourne?,late 1890s,2000s,"[Document(id=c35394598ae512de45396f20eb9657cd39aa8feaea7505f76ad712e7cf8a9c19, content: ' According to the Australian Bureau of Statistics, Melbourne sustained the highest population increa...', meta: {'name': 'Melbourne', 'source_id': 'e9cc00699ea29b72949874ec0e147efa277ecdaa2a727246f376aab1a8d342bd', 'page_number': 1}, score: 0.6020077079508841)]",1.0,0.46762651205062866,1.0,1.0,1.0
