questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
In which year was a settlement reached regarding GE's pollution of the Housatonic River?,1999,1977,"[Document(id=f6a12178d43defb2a103deca0f4fb166a5e99e5a8e58be48c76be81bd5d2bd38, content: ' Around the same time, General Electric's Canadian counterpart, Canadian General Electric, was forme...', meta: {'name': 'General_Electric', 'source_id': '26d4044eb2d79191635af69e57c262af8041a70871e60e989128c458529f04cc', 'page_number': 1}, score: 0.5458091961847271)]",1.0,0.5505510568618774,1.0,1.0,1.0
What area in Charleston is considered the 'industrial area'?,the city's Neck area,Albemarle Point,"[Document(id=33520542b8f7e5d136d9a92a7dce72f05f29e134ba94ef5fbda564b9a00e3664, content: ' It moved to its present location on Oyster Point in 1680 from a location on the west bank of the As...', meta: {'name': 'Charleston,_South_Carolina', 'source_id': '6135d76cf2064b0c4f70e685c5c7e15b8093869ebd10f9a74e8acb07e2173763', 'page_number': 1}, score: 0.5352715558082974)]",1.0,0.16469033062458038,1.0,1.0,1.0
In what year did Frédéric obtain citizenship in France?,1835,1835,"[Document(id=2dc3b5cfb05bfeb4e2c0b072a5a5e6417b1109588ffcbd88ffd03346c8bc1975, content: ' In France he used the French versions of his given names, and after receiving French citizenship in...', meta: {'name': 'Frédéric_Chopin', 'source_id': '5e95b80d7ceb3febb2d1a7dfe09730771a231fc8d23c15cd74d3fa2327cfcb14', 'page_number': 1}, score: 0.7137269057215699)]",1.0,1.0,1.0,1.0,1.0
What was Tesla afraid someone was trying to do with his invention?,steal the invention,experiment,"[Document(id=3c13b6a4d7fc41ebb143777fda97e499cb3c96df8338be0d43bcb307df2fcbae, content: '
In 1937, at a luncheon in his honor concerning the death ray, Tesla stated, ""But it is not an exper...', meta: {'name': 'Nikola_Tesla', 'source_id': 'ceea6a1645d15ba7fe20b687be69cd66b3781b3889ef8a0693edc64967068a28', 'page_number': 1}, score: 0.7212605684756541)]",1.0,0.23364409804344177,1.0,1.0,1.0
What is the group called that does not agree with government at all?,anarchists,theorists,"[Document(id=01eb5e9d28031d5d0b360b7c8f29e7ddbf87fd002dd1a6d7598b122c26821796, content: ' It was necessarily this belief that led them to adopt a strong central power as the only means of p...', meta: {'name': 'Political_philosophy', 'source_id': 'b6ae8bbff967363b12ca505926b5bff22989ed948eaa878bbf82df20c179d98b', 'page_number': 1}, score: 0.4561133241269701)]",0.0,0.44234633445739746,0.0,0.0,0.0
What was the name of the bookstore the authors met in?,Old Corner Bookstore,"The Reverend Alexander Dyce was another benefactor of the library, leaving over 14,000 books to the museum in 1869. Amongst the books he collected are early editions in Greek and Latin of the poets and playwrights Aeschylus, Aristotle, Homer, Livy, Ovid, Pindar, Sophocles and Virgil. More recent authors include Giovanni Boccaccio, Dante, Racine, Rabelais and Molière.
Writers whose papers are in the library are as diverse as Charles Dickens and Beatrix Potter. Illuminated manuscripts in the library dating from the 12th to 16th centuries include: the Eadwine Psalter[citation needed], Canterbury; Pocket Book of Hours, Reims; Missal from the Royal Abbey of Saint Denis","[Document(id=c4e299761e10f4cdbe2878ec63543541144638c306cbf9461b4fa00ff423a2e6, content: ' The Reverend Alexander Dyce was another benefactor of the library, leaving over 14,000 books to the...', meta: {'name': 'Victoria_and_Albert_Museum', 'source_id': '202e0997b99bb8f0aaa6dd9c09c05e008cf8809c92549b6c9f073b5d26d1a3dd', 'page_number': 1}, score: 0.48250097806269554)]",0.0,0.3507031798362732,0.0,0.0,0.0
Time and space are both examples of what type of resource?,complexity resources,"operational definition of time, wherein one says that observing a certain number of repetitions of one or another standard cyclical event (such as the passage of a free-swinging pendulum) constitutes one standard unit such as the second, is highly useful in the conduct of both advanced experiments and everyday affairs of life. The operational definition leaves aside the question whether there is something called time, apart from the counting activity just mentioned, that flows and that can be measured","[Document(id=849ac9a1750eb7540fb92137ca4256c703db879b81e07bec1f34d0071ef5b30e, content: ' An operational definition of time, wherein one says that observing a certain number of repetitions ...', meta: {'name': 'Time', 'source_id': 'f3ee42c6d38306d65c6207a15a1b9c65ff08a69728d5d0197f9593548177b229', 'page_number': 1}, score: 0.5233312924187772)]",0.0,0.1799328625202179,0.0,0.0,0.0
What had happened to Frederick's extra troops from Russia?,"Catherine, who ended Russia's alliance with Prussia and withdrew from the war",He also placed a corps of his own troops under Frederick's command,"[Document(id=ba197620bd7dce47cd5783da779f1718bab82d5ef9f7b4a77e908fd7397ad72a, content: ' Then on 5 January 1762 the Russian Empress Elizabeth died. Her Prussophile successor, Peter III, at...', meta: {'name': 'Seven_Years%27_War', 'source_id': '3ce1ed9d37c2147a385da7d5e5b943fd3d7b17c5d89dca3dd9b367b2b1f095e3', 'page_number': 1}, score: 0.726811910218078)]",1.0,0.28628912568092346,1.0,1.0,1.0
What percentage of its workforce did Dell terminate in from 2007 to 2008?,10%,45,"[Document(id=01c8154b0e9d235879d3d4340dee5d60313f266039fc22ae569f7bc4ddabfbfe, content: ''s Macintosh that took 45 percent, seven percent at Hewlett Packard, six percent at Lenovo and Asus,...', meta: {'name': 'Dell', 'source_id': '2a4fe0f2b4ecfc25a3563020204c8a55c9674b77ca6df3c224557299cb0a5581', 'page_number': 1}, score: 0.6647941450538054)]",1.0,0.3141947090625763,1.0,1.0,1.0
What organization was Rome's official caretaker?,the senate,Imperial cult apparatus,"[Document(id=af97cb64fa6938b2e1aa470aef89519e08e5ee5a4c7b0dfb5f6779059a1c3f13, content: ' Greek allies had their own traditional cults to rulers as divine benefactors, and offered similar c...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5799821762333404)]",1.0,0.14709675312042236,1.0,1.0,1.0
Who chose BYU as the location of the national Middle East Language Resource Center?,United States Department of Education,United States Department of Education,"[Document(id=10406721e1bacc4b94568efb8105444ce33c23b507417efe2e032c93615c0677, content: ' Several of its language programs are the largest of their kind in the nation, the Russian program b...', meta: {'name': 'Brigham_Young_University', 'source_id': 'cb3b81b6f2c540426803106face67bc5fd4db7b1a9ef422ec3601456732b4785', 'page_number': 1}, score: 0.7174902149566916)]",1.0,1.0,1.0,1.0,1.0
Who discovered Hydrogen gas?,Robert Boyle,Robert Boyle,"[Document(id=694b7ad0ec30f16563c095bfd8aa73a286298746fa8b5b6b568961e806fe7462, content: '
In 1671, Robert Boyle discovered and described the reaction between iron filings and dilute acids, ...', meta: {'name': 'Hydrogen', 'source_id': '68980750bab4ae17fc394871df89fbbb807d0b180a08bf2698ebc1ec0613d8a2', 'page_number': 1}, score: 0.7181772030878829)]",1.0,1.0,1.0,1.0,1.0
Where was Polybius forced to go as hostage?,Rome,Milan,"[Document(id=e419da5121b148265bffa3a5af9e72064a03b1766267a2dfd8cd48214972ee16, content: ' He sent him, indeed, five hundred pieces of gold ""to bear his charges"" but Liberius refused them, s...', meta: {'name': 'Athanasius_of_Alexandria', 'source_id': '2a8e7ec0a44075f1a567744982dcecf4bcea19f0065d4f73c742398a05fa1642', 'page_number': 1}, score: 0.5579230492143117)]",0.0,0.5594199895858765,0.0,0.0,0.0
In what decade was disco popular?,1970s,1970s,"[Document(id=901a9f1636faf9035626a9559750c7d346d38dbd3d60a92fc29a9aaf68f78dc7, content: ' Other performing arts venues in Miami include the Gusman Center for the Performing Arts, Coconut Gr...', meta: {'name': 'Miami', 'source_id': '39ab1ce422fd3baeedbb69a9a90b4c0e43c513f6161698478a96f09e5d9f7285', 'page_number': 1}, score: 0.5381765557556315)]",1.0,1.0,1.0,1.0,1.0
What do the rivers form?,lakes,Nieuwe Maas,"[Document(id=2c02265ed1b53d17cbf8d8090f6a3dad995df9f6a8bbe12e06c780368660607e, content: ' The middle flow begins as Nederrijn, then changes into Lek, then joins the Noord, thereby forming N...', meta: {'name': 'Rhine', 'source_id': '23686e48a61504679a91dac10d83b287aef3dff7dabc0ab881c281059187ce6a', 'page_number': 1}, score: 0.5730175051454007)]",0.0,0.16586220264434814,0.0,0.0,0.0
What were the first 256 code points of Unicode made identical to? ,ISO-8859-1,historic scripts,"[Document(id=df3636934a87dcaa1aa37c6146a219c020357b983841dcebcc4edf19d3146c4a, content: ' For example, the ""fullwidth forms"" section of code points encompasses a full Latin alphabet that is...', meta: {'name': 'Unicode', 'source_id': '5466bae2d66ecdb546af3cc34795de9f594465bd49e997a8c32cca0dc3b5d1e2', 'page_number': 1}, score: 0.7118722829389936)]",1.0,0.08416931331157684,1.0,1.0,1.0
"How many countries did her song ""Irreplaceable"" get number one status in?",five,20,"[Document(id=7bd8798cd87379643365f7305e27ccc9e3b89266b2ba91439f47a12218f428ba, content: ' It has so many depth and layers that it's easily as self-aware and earnest as Ray of Light."" The al...', meta: {'name': 'Madonna_(entertainer)', 'source_id': '0868d847bb768c30a7507239169d5e441bb3181b66c8b9353a863daa3d58e425', 'page_number': 1}, score: 0.5071568670430149)]",0.0,0.5910412073135376,0.0,0.0,0.0
How many Examination Boards exist in India?,30,30,"[Document(id=87a93f72cbb9c00ea6477b2a31d21c284a2ecf07733f93b0fb4ba7b277f5b8f5, content: ' It is within the power of both the union government and the state governments to govern schools sin...', meta: {'name': 'Private_school', 'source_id': 'c62330ba95e9919513bc9fc65c0d21a748b4a518b9b1f905a113de7f37274e44', 'page_number': 1}, score: 0.5956209852111035)]",1.0,1.0000001192092896,1.0,1.0,1.0
What play showed an early depiction of civil disobedience?,Antigone,Book of Exodus,"[Document(id=7494eaecd937f085419fe0fd2756a519eebdab4fc40df8775479885b329c3be9, content: ' But Stephen Eilmann argues that if it is necessary to disobey rules that conflict with morality, we...', meta: {'name': 'Civil_disobedience', 'source_id': '505ac0ceafea50bbbfc74281c3c932b97c3074217d7ffe74512a2d0eb97fe491', 'page_number': 1}, score: 0.5443074411362279)]",1.0,0.20138104259967804,1.0,1.0,1.0
"Once in conversation with the Queen, how is Elizabeth addressed?",Ma'am,Your Majesty,"[Document(id=6661c5b42cee4d9122296712db8297ce21db50225e9f1d2cad1e056d68ca32c8, content: ' Additional styles include Defender of the Faith and Duke of Lancaster. When in conversation with th...', meta: {'name': 'Elizabeth_II', 'source_id': '701ad172dfcc8791d990bf596fe61055a5548b2e1847cd32a5d9c011ed8a1ed8', 'page_number': 1}, score: 0.5861381499007268)]",1.0,0.3193480372428894,1.0,1.0,1.0
In what century did Paris become largely into fashion?,19th,19th,"[Document(id=ff2ec1a3232f7d74c84b198defa77dd9879cdb65474a7dab2bf47da19675285e, content: '
Paris has been an international capital of high fashion since the 19th century, particularly in the...', meta: {'name': 'Paris', 'source_id': '52b8f3ebbfb9baf9226768b89151b597c215bb08f28021147d2d798f707976c9', 'page_number': 1}, score: 0.6258372807721067)]",1.0,1.0,1.0,1.0,1.0
When did Alfred the Great begin his reign?,871,886 AD,"[Document(id=97b9e2b1856762e1d11691539c2c193c07d71470734d02a5b7282ff6d4bc33ec, content: ' It was an area of political and geographical control imposed by the Viking incursions which was for...', meta: {'name': 'London', 'source_id': '384b6fa4b2a5b435a0f85244f7298e637d4502e20b701668b4f9f2add9c563e3', 'page_number': 1}, score: 0.5435868133989574)]",0.0,0.6714180707931519,0.0,0.0,0.0
What two methods can be used when using Load Testing?,data or a large number of users,large quantities of data or a large number of users,"[Document(id=4753cc282d43999b382172589cceb076cee5e8185383911435f640a568593cbe, content: '
Load testing is primarily concerned with testing that the system can continue to operate under a sp...', meta: {'name': 'Software_testing', 'source_id': '141fdc660b7505b00b8550733c65d48914cde6833d577a5494a41a6cb01a3827', 'page_number': 1}, score: 0.6273370435754246)]",1.0,0.9246095418930054,1.0,1.0,1.0
what may possibly be a solution to net neutrality concerns? ,municipal broadband,municipal broadband,"[Document(id=5f8dc7264853d3b0b88a03420e7878e16fa4c08ef70ab7cc5d722e889b21dda6, content: 'S. Federal Communications Commission (FCC) was reported to be considering a new rule that will permi...', meta: {'name': 'Internet_service_provider', 'source_id': 'b6cdeebacab1c0fc99cc348ba10a7ad5f8a09ca4691c74f89374730939ffbbb4', 'page_number': 1}, score: 0.6102544598734859)]",1.0,1.0,1.0,1.0,1.0
What are the ground-attack aircraft in the USAF usually deployed in support for? ,U.S. ground forces,U.S. ground forces,"[Document(id=87ffdf42e04cd4e5aabc33e35caf9614ba61758e355a1d97a38a524ba0bedf46, content: '
The ground-attack aircraft of the USAF are designed to attack targets on the ground and are often d...', meta: {'name': 'United_States_Air_Force', 'source_id': '1bb222de66e5a2c81f1d5b75bf3eced066939aec82934a5cb176a607b4e8cc8f', 'page_number': 1}, score: 0.7377392492190507)]",1.0,1.0,1.0,1.0,1.0
 In what year did the invasion of Russia take place?,1812,1853,"[Document(id=5e62f2afbd35341eab44e01cce599dfb08f5845fb82d0fb96bdbebed584d740b, content: ' As far as Britain was concerned, defeats inflicted by Russia on Persia and Turkey demonstrated its ...', meta: {'name': 'British_Empire', 'source_id': '8f673e96ef153333a8fc1d3855be60f5be1829316ed1fcb58dd8590fdb083946', 'page_number': 1}, score: 0.6213761252873606)]",0.0,0.462875097990036,0.0,0.0,0.0
What was the practice of religion to the Romans?,personal choice,Private and personal worship,"[Document(id=8cb202622013f5234d79ec3a4275501aaa91b4fdefe32dbbccfd335829f7ffa1, content: '[citation needed]
Roman religious beliefs date back to the founding of Rome, around 800 BC. However,...', meta: {'name': 'Roman_Republic', 'source_id': '3f4556109d2f785759587a7f8d52a5aa1b1abda3015c73990aa173f05a0d62c1', 'page_number': 1}, score: 0.7263754631387216)]",0.0,0.2722780108451843,0.0,0.0,0.0
What is one example of failure testing?,Software fault injection,defects in dead code,"[Document(id=7475e2af3065cbe79f0e067059ae3ca86f6548819c59b2c8ff21a438fc2f6346, content: ' Not all defects will necessarily result in failures. For example, defects in dead code will never r...', meta: {'name': 'Software_testing', 'source_id': '141fdc660b7505b00b8550733c65d48914cde6833d577a5494a41a6cb01a3827', 'page_number': 1}, score: 0.5822750020340757)]",1.0,0.4074403643608093,1.0,1.0,1.0
"Out of the maximum amount of players allowed, one must be a what?",goalkeeper,goalkeeper,"[Document(id=e6ee12359c832f972207465515e8a9b305bdf92628324bb99b5470cc0b0b74b4, content: ' The same laws are designed to apply to all levels of football, although certain modifications for g...', meta: {'name': 'Association_football', 'source_id': 'f2b7305b09ad8a43b8389a5eb2d84b8ea4b4deaa7968d21fe9da9da9ecda2c6b', 'page_number': 1}, score: 0.56937587493132)]",1.0,1.0,1.0,1.0,1.0
In which year was the new constitution ratified?,1855,1982,"[Document(id=7d6e1c6a8e83b4b29ce4b75833fc74ff72c585bad0dc7e4ea9a862be027f8038, content: 'C. Statehood Green Party. The nearest this movement ever came to success was in 1978, when Congress ...', meta: {'name': '51st_state', 'source_id': 'aa3341a0a65518fe53b022b57fd32c865f74c249a1b4d32919c38bfd1cead5b7', 'page_number': 1}, score: 0.5897939832060628)]",0.0,0.5184707045555115,0.0,0.0,0.0
What vessel was attacked in 1845?,Naiad,Great White Fleet,"[Document(id=cd897c548533a5aba0b93b04622013a15c0c16c36e38f21aad766477a89148f3, content: ' In 1907, most of the Navy's battleships, with several support vessels, dubbed the Great White Fleet...', meta: {'name': 'Military_history_of_the_United_States', 'source_id': 'e80a3db424753f4e406b9cfac948a9c9640a8278fb51e7ba7c06781d3f1813f4', 'page_number': 1}, score: 0.5486769216069662)]",0.0,0.25486424565315247,0.0,0.0,0.0
When did Travel + Leisure list Yale as one of the most beautiful campuses?,2011,2011,"[Document(id=1eb83a50e062eec7af6abab3de1bf0b5576a4c75ac168cc64f1b77a2e268c579, content: '7 km2) Yale-Myers Forest in Connecticut's Quiet Corner—and nature preserves including Horse Island.
...', meta: {'name': 'Yale_University', 'source_id': 'f33638c4d6b8d7572ba500f3a8affca1729aae3046c83a94e2a7424dd50f6549', 'page_number': 1}, score: 0.6826308918386579)]",1.0,1.0000001192092896,1.0,1.0,1.0
What sort of variants did the Human Genome Project indicate that many of the measured transcripts were?,alternative variants,expressed sequence tags,"[Document(id=c181af6d9e4133e2db3dd3214c28363e87a8f250668a4fc4d9c06fd0060f35eb, content: ' Conversely, plants can have extremely large genomes, with rice containing >46,000 protein-coding ge...', meta: {'name': 'Gene', 'source_id': 'aedb09488dc3b766bb8c9b41d942aeb0d62f6f6c6c92506004b72557882725cc', 'page_number': 1}, score: 0.516086017715844)]",1.0,0.21117305755615234,1.0,1.0,1.0
During what year did the Italians invade Libya?,1911,1911,"[Document(id=3cdcefdaa320ecb0d100eef0c92063190f1030f98ee702385d5ad087a454afc6, content: ' He repeatedly expressed a preference for the desert over the city and retreated to the desert to me...', meta: {'name': 'Muammar_Gaddafi', 'source_id': '8152b4f6f236e7f6841b777d688aa105c66dbcee3fe926720311ce23eed0a380', 'page_number': 1}, score: 0.6345208523493653)]",1.0,1.0000001192092896,1.0,1.0,1.0
What did Davidson believe the God of Aristotle is synonymous with?,rational thought,rational thought,"[Document(id=14435d1137e579f740d93ef8fabdf50640828e96d9dd732c7b8c6d4932ae6a58, content: '"" The theory was indebted to Aristotle's pluralism and his concepts of Soul, the rational, living as...', meta: {'name': 'Idealism', 'source_id': '55a0bd42a4a737442a2d93fe0926424e236910de01b2406ed43c174f2225ff9d', 'page_number': 1}, score: 0.6069175571756187)]",1.0,1.0,1.0,1.0,1.0
What percentage of students at Notre Dame are the children of former Notre Dame students?,21–24%,"8,448 undergraduates, 2,138 graduate and professional and 1,593","[Document(id=1fa5bbb9afa8ebfbb9575bd6b27204acdf8f5bcb61e4e7771f62bb0b32428d62, content: '
In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 ...', meta: {'name': 'University_of_Notre_Dame', 'source_id': '4d72b1adc03b693b389a144097b6ebc1668cfbaef6fa42bbc023428ed14a60d9', 'page_number': 1}, score: 0.6858562650923519)]",1.0,0.25114506483078003,1.0,1.0,1.0
On what day did U.S> planes located Ozawa's fleet?,second,midnight,"[Document(id=8f9a474db1bbc2a41725828917a296999dd03c7fd6c62c0e1adf58a5a2f207f9, content: 'S. Third Fleet was formidable – nine large carriers, eight light carriers, six battleships, 17 cruis...', meta: {'name': 'Pacific_War', 'source_id': 'bbc89e90f0fa3a97026e63250a28c1a17f157ab8c6d81bc70d6d55b8da059c57', 'page_number': 1}, score: 0.6451543648987118)]",1.0,0.23394635319709778,1.0,1.0,1.0
Greek was crowned the European champions in what event?,Euro 2004,Euro 2004,"[Document(id=4cbbc741471265b8757147f853168935ce795df102abf69b11f058149ff15eff, content: ' Their best ever performance was in the 1896 Summer Olympics, when Greece finished second in the med...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.6349059298170436)]",1.0,1.0000001192092896,1.0,1.0,1.0
Which tense indicates that an action hasn't finished?,imperfective,imperfective,"[Document(id=06048f854345fb7e2b6f12877040f57cf87279336165b7cb7893e29f87cc9222, content: ' On occasion of the publication’s 45th anniversary, the Croatian weekly journal Forum published the ...', meta: {'name': 'Serbo-Croatian', 'source_id': '2cc55814bc801258e8300ed82e003428dbf11715c74ad99297d61c5dd77023f4', 'page_number': 1}, score: 0.4510094094135552)]",1.0,1.0,1.0,1.0,1.0
What acoustic element could be distorted by different audio settings in iPods prior to 2007?,Bass,bass instruments,"[Document(id=158a6b8443733e42d24dec31180770da4724f3bd14ed49e47a937624f7aeed47, content: ' This would happen for EQ settings like R&B, Rock, Acoustic, and Bass Booster, because the equalizer...', meta: {'name': 'IPod', 'source_id': 'f0324763387a7e11c235569bada6935891b2c5ba40dd065ab5acc1bb5de8dbed', 'page_number': 1}, score: 0.626275648011194)]",1.0,0.8350290656089783,1.0,1.0,1.0
In what way can Neutral triatomic hydrogen exist?,excited form,molecular forms,"[Document(id=20580d781b7cb1b0f929dd861809d47639d869e422d7e9f42898f3544f7840a9, content: ' The most common isotope of hydrogen, termed protium (name rarely used, symbol 1H), has one proton a...', meta: {'name': 'Hydrogen', 'source_id': '68980750bab4ae17fc394871df89fbbb807d0b180a08bf2698ebc1ec0613d8a2', 'page_number': 1}, score: 0.6461370372692088)]",1.0,0.4372621178627014,1.0,1.0,1.0
How are children used in the conflicts in Burma?,Child soldiers have and continue to play a major part in the Burmese Army as well as Burmese rebel movements.,Children are being sold as conscripts,"[Document(id=0088f05f01a71535c2cb1e5b41db4930183fdb107aa5d9b1b2402b982ed6e8a4, content: '"" In July 2013, the Assistance Association for Political Prisoners indicated that there were approxi...', meta: {'name': 'Myanmar', 'source_id': '3d5d8c2f0b407573851f7793034e3f28664c9739d422faaf23da089d3bb275b3', 'page_number': 1}, score: 0.597721040777937)]",1.0,0.31609007716178894,1.0,1.0,1.0
In what decades were Arsenal players stereotyped in a negative way?,1970s and 1980s,1970s and 1980s,"[Document(id=1bdd87144e8c05c0c8820e3bd6186deb63a4be13d5810e39af795993e4721bb7, content: ' The book was twice adapted for the cinema – the 1997 British film focuses on Arsenal's 1988–89 titl...', meta: {'name': 'Arsenal_F.C.', 'source_id': 'b197b14120aabbc3bf2073d4b3e99c1c51d56d5ac5248f8a97dadcfa056a6f7e', 'page_number': 1}, score: 0.5961240467039464)]",1.0,1.0,1.0,1.0,1.0
When did new construction start in Melbourne?,late 1890s,1803,"[Document(id=ea0a06b9a04457ce2c807b8789e8cac9f6cb1392ea3c2c34eeac6524dc27a03a, content: ' With Great Britain having claimed the entire Australian continent east of the 135th meridian east i...', meta: {'name': 'Victoria_(Australia)', 'source_id': 'de2fb2860506705876798514a70ef6d34931928f0161bda737ae7b6c7f28a056', 'page_number': 1}, score: 0.5539068992531617)]",0.0,0.3583161234855652,0.0,0.0,0.0
